,turismo,lat,lng
0,Aeroporto Santos Dumont,-22.91071875,-43.164178244974906
1,Arcos da Lapa,-22.913034099999997,-43.17995577437753
2,Cais do Valongo,-22.8968882,-43.18746556768107
3,Capela Mayrink,-22.9567276,-43.2775169
4,Cascatinha Taunay,-22.9587647,-43.2774938
5,Catedral São Sebastião,-21.17819075,-47.810862523104106
6,Cidade das Artes,-22.9990778,-43.365862598109025
7,Cidade do Samba,-22.895912449999997,-43.19770198445847
8,Cinelândia,-21.7086669,-47.4710137
9,Cristo Redentor,-22.9519173,-43.210495
10,Estação das Barcas,40.0349494,-3.6186492
11,Estádio Olímpico Nilton Santos - Engenhão,-22.89318445,-43.29348446511976
12,Fortaleza de São João,-3.85103585,-38.512097463373564
13,Forte de Copacabana,-22.9863648,-43.1872476
14,Igreja da Candelária,37.8265604,-25.822419
15,Igreja da Penha,-22.8443087,-43.27507490166002
16,Ilha de Paquetá,-22.75935555,-43.10878900322809
17,Ilha Fiscal,-22.8968977,-43.16630770274738
18,Jardim Botânico,-22.968384550000003,-43.22869449858106
19,Jardim de Alah,-20.378275,-40.372972
20,Jardim Zoológico,38.7420882,-9.1689132
21,Lagoa Rodrigo de Freitas,-22.9715936,-43.212023263804056
22,Largo da Carioca,-22.9077025,-43.17810457482727
23,Maracanã,-22.912091949999997,-43.23114540590559
24,Marina da Glória,-22.9178777,-43.1708278
25,Monumento aos Pracinhas,-22.9166228,-43.17340689916125
26,Mosteiro de São Bento,-23.54343325,-46.63412869643467
27,Museu de Arte do Rio - MAR,-22.8964727,-43.18185043313456
28,Museu do Amanhã,-22.894068349999998,-43.17940453005818
29,Orla Conde,-22.8927309,-43.1946708
30,Outeiro da Glória,-22.9233182,-43.1747032
31,Pão de Açúcar,-9.7496551,-37.4329891
32,Parque das Ruínas,-22.917715049999998,-43.18240249415226
33,Parque Madureira,-22.864898,-43.344144432797066
34,Pavilhão de São Cristóvão,-22.89746705,-43.22037903322271
35,Pedra da Gávea,-22.998982,-43.2829733
36,Planetário da Gávea,-22.9781945,-43.2302566498077
37,Planetário de Santa Cruz,10.7717284,-71.6685388
38,Ponta do Arpoador,-22.9903085,-43.191043
39,Praça XV,-22.90286105,-43.172884525609234
40,Quinta da Boa Vista,-22.9054706,-43.22630606873708
41,Vista Chinesa,-22.97325345,-43.249525778801214
